Timestamp,Sensor Location,Sensor Type,Sensor Value
2024-02-22 15:00:13,Computer Room,Temperature,72.4
2024-02-22 15:00:13,Computer Room,Humidity,28.1
2024-02-22 15:00:13,Computer Room,BatteryVolts,5.21
2024-02-22 15:00:13,Computer Room,BatteryPercent,60
2024-02-22 15:01:27,Living Room,Temperature,67.1
2024-02-22 15:01:27,Living Room,Humidity,35.3
2024-02-22 15:01:27,Living Room,BatteryVolts,5.32
2024-02-22 15:01:27,Living Room,BatteryPercent,65
2024-02-22 15:03:23,Garage,Temperature,52.4
2024-02-22 15:03:23,Garage,Humidity,37.9
2024-02-22 15:03:23,Garage,BatteryVolts,5.26
2024-02-22 15:03:23,Garage,BatteryPercent,62
2024-02-22 15:06:03,Computer Room,Temperature,75.3
2024-02-22 15:06:03,Computer Room,Humidity,25.9
2024-02-22 15:06:03,Computer Room,BatteryVolts,5.21
2024-02-22 15:06:03,Computer Room,BatteryPercent,60
2024-02-22 15:09:02,Garage,Temperature,53.3
2024-02-22 15:09:02,Garage,Humidity,37
2024-02-22 15:09:02,Garage,BatteryVolts,5.26
2024-02-22 15:09:02,Garage,BatteryPercent,62
2024-02-22 15:16:01,Computer Room,Temperature,72.9
2024-02-22 15:16:01,Computer Room,Humidity,26.8
2024-02-22 15:16:01,Computer Room,BatteryVolts,5.22
2024-02-22 15:16:01,Computer Room,BatteryPercent,60
2024-02-22 15:25:01,Garage,Temperature,52.4
2024-02-22 15:25:01,Garage,Humidity,37.5
2024-02-22 15:25:01,Garage,BatteryVolts,5.26
2024-02-22 15:25:01,Garage,BatteryPercent,62
2024-02-22 15:37:02,Computer Room,Temperature,70.9
2024-02-22 15:37:02,Computer Room,Humidity,27.9
2024-02-22 15:37:02,Computer Room,BatteryVolts,5.22
2024-02-22 15:37:02,Computer Room,BatteryPercent,61
2024-02-22 16:39:59,Living Room,Temperature,66.2
2024-02-22 16:39:59,Living Room,Humidity,32.3
2024-02-22 16:39:59,Living Room,BatteryVolts,5.32
2024-02-22 16:39:59,Living Room,BatteryPercent,65
2024-02-22 16:43:01,Computer Room,Temperature,68.9
2024-02-22 16:43:01,Computer Room,Humidity,29
2024-02-22 16:43:01,Computer Room,BatteryVolts,5.23
2024-02-22 16:43:01,Computer Room,BatteryPercent,61
2024-02-22 17:01:02,Computer Room,Temperature,69
2024-02-22 17:01:02,Computer Room,Humidity,29.4
2024-02-22 17:01:02,Computer Room,BatteryVolts,5.23
2024-02-22 17:01:02,Computer Room,BatteryPercent,61
2024-02-22 17:02:02,Living Room,Temperature,66.2
2024-02-22 17:02:02,Living Room,Humidity,32.7
2024-02-22 17:02:02,Living Room,BatteryVolts,5.32
2024-02-22 17:02:02,Living Room,BatteryPercent,65
2024-02-22 17:03:59,Garage,Temperature,52.5
2024-02-22 17:03:59,Garage,Humidity,37.3
2024-02-22 17:03:59,Garage,BatteryVolts,5.26
2024-02-22 17:03:59,Garage,BatteryPercent,62
2024-02-22 17:28:01,Garage,Temperature,51.6
2024-02-22 17:28:01,Garage,Humidity,37.7
2024-02-22 17:28:01,Garage,BatteryVolts,5.26
2024-02-22 17:28:01,Garage,BatteryPercent,62
2024-02-22 18:12:00,Garage,Temperature,52.5
2024-02-22 18:12:00,Garage,Humidity,37
2024-02-22 18:12:00,Garage,BatteryVolts,5.26
2024-02-22 18:12:00,Garage,BatteryPercent,62
2024-02-22 18:38:01,Garage,Temperature,51.6
2024-02-22 18:38:01,Garage,Humidity,37.5
2024-02-22 18:38:01,Garage,BatteryVolts,5.26
2024-02-22 18:38:01,Garage,BatteryPercent,62
2024-02-22 19:02:01,Computer Room,Temperature,69.5
2024-02-22 19:02:01,Computer Room,Humidity,28.7
2024-02-22 19:02:01,Computer Room,BatteryVolts,5.22
2024-02-22 19:02:01,Computer Room,BatteryPercent,61
2024-02-22 19:03:01,Living Room,Temperature,65.8
2024-02-22 19:03:01,Living Room,Humidity,32.4
2024-02-22 19:03:01,Living Room,BatteryVolts,5.31
2024-02-22 19:03:01,Living Room,BatteryPercent,65
2024-02-22 19:04:02,Garage,Temperature,51.7
2024-02-22 19:04:02,Garage,Humidity,37.1
2024-02-22 19:04:02,Garage,BatteryVolts,5.26
2024-02-22 19:04:02,Garage,BatteryPercent,62
2024-02-22 21:03:02,Computer Room,Temperature,70.3
2024-02-22 21:03:02,Computer Room,Humidity,28.1
2024-02-22 21:03:02,Computer Room,BatteryVolts,5.23
2024-02-22 21:03:02,Computer Room,BatteryPercent,61
2024-02-22 21:04:00,Living Room,Temperature,65.5
2024-02-22 21:04:00,Living Room,Humidity,32.2
2024-02-22 21:04:00,Living Room,BatteryVolts,5.32
2024-02-22 21:04:00,Living Room,BatteryPercent,65
2024-02-22 21:04:58,Garage,Temperature,51.1
2024-02-22 21:04:58,Garage,Humidity,37.2
2024-02-22 21:04:58,Garage,BatteryVolts,5.26
2024-02-22 21:04:58,Garage,BatteryPercent,63
2024-02-22 21:16:02,Garage,Temperature,52
2024-02-22 21:16:02,Garage,Humidity,36.7
2024-02-22 21:16:02,Garage,BatteryVolts,5.26
2024-02-22 21:16:02,Garage,BatteryPercent,63
2024-02-22 21:40:02,Garage,Temperature,51.1
2024-02-22 21:40:02,Garage,Humidity,37.2
2024-02-22 21:40:02,Garage,BatteryVolts,5.26
2024-02-22 21:40:02,Garage,BatteryPercent,62
2024-02-22 22:10:06,Computer Room,Temperature,69.7
2024-02-22 22:10:06,Computer Room,Humidity,29.8
2024-02-22 22:10:06,Computer Room,BatteryVolts,5.23
2024-02-22 22:10:06,Computer Room,BatteryPercent,61
2024-02-22 22:21:35,Living Room,Temperature,65.3
2024-02-22 22:21:35,Living Room,Humidity,36.1
2024-02-22 22:21:35,Living Room,BatteryVolts,5.31
2024-02-22 22:21:35,Living Room,BatteryPercent,65
2024-02-22 22:23:25,Garage,Temperature,51.0
2024-02-22 22:23:25,Garage,Humidity,37.4
